username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink;v_neg;v_neu;v_pos;v_com;tb_score
;2019-12-05 17:45;0;0;"Le # PartiCommuniste fait plier # LVMH Assigné en justice par le PCF, Bernard Arnault publie les comptes de sa holding # Politique # Économie https://www.ouest-france.fr/politique/assigne-en-justice-par-le-pcf-bernard-arnault-publie-les-comptes-de-sa-holding-6640104 … via @ ouestfrance";;@;# # # #;"1202720744259641344";https://twitter.com/roch_etienne94/status/1202720744259641344;0.000000;0.866000;0.134000;0.526700;0.000000
;2019-12-05 17:32;0;0;"Louis and Tiffany: A Marriage Made in Luxury Retail Heaven # LVMH # TiffanyAndCo https://foremanassociates.wordpress.com/2019/12/05/louis-and-tiffany-a-marriage-made-in-luxury-retail-heaven/ …pic.twitter.com/QOYxPcyeTt";;;# #;"1202717441144606723";https://twitter.com/ForemanLLC/status/1202717441144606723;0.000000;0.769000;0.231000;0.510600;0.000000
;2019-12-05 17:01;0;1;"The most valuable part of Tiffany is the colour blue. LVMH paid $US16bn for it.: http://link.carnapi.es/mT3A_H5Y # Marketing # LVMH # TiffanyCo # MarketingStrategypic.twitter.com/csxx9anvBl";;;# # # #;"1202709724787027968";https://twitter.com/ConFrantzeskos/status/1202709724787027968;0.000000;0.834000;0.166000;0.525600;0.250000
;2019-12-05 16:30;0;0;"# LVMH: es momento de volver a comprar http://tinyurl.com/txjfmfz pic.twitter.com/x3WNiD9aPw";;;#;"1202701904322711562";https://twitter.com/BolsanalisisTec/status/1202701904322711562;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-05 16:09;0;1;"I remember sitting in my college room buying my first LVMH stocks like it was yesterday! What a ride! @ LouisVuitton @ LVMH # luxury # lvmh # stock # finance # europe # france # winnerpic.twitter.com/LBnxoGp7oY";;@ @;# # # # # # #;"1202696554810875904";https://twitter.com/shanka29x/status/1202696554810875904;0.000000;0.890000;0.110000;0.473800;0.390625
;2019-12-05 14:49;0;1;"May explain the acquisition. Smart move btw, the distribution alone from # LVMH and market access should directionally impact growth. Even though, it may change the # brand. # m&ahttps://twitter.com/Reuters/status/1202675256135163904 …";;;# # #;"1202676504406188033";https://twitter.com/Art_Gutierrez/status/1202676504406188033;0.064000;0.767000;0.169000;0.510600;0.214286
;2019-12-05 14:15;0;0;"Bernard, si tu nous regarde. # LVMH https://twitter.com/MatL8519/status/1202631804047376384 …";;;#;"1202667759164895232";https://twitter.com/ZeRedFlow/status/1202667759164895232;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-05 13:52;0;2;"Sponsorisé par Moët # lvmh";;;#;"1202662161069346816";https://twitter.com/racarree/status/1202662161069346816;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-05 13:05;0;1;"Marianne, c'est pas un magazine qui appartient pourtant à Daniel Kretinsky, un milliardaire lui aussi non ? # StopFrenchBashing # Arnault # LVMH https://twitter.com/MarianneleMag/status/1202468475211567104 …";;;# # #;"1202650283261734915";https://twitter.com/Aureli1enGiraux/status/1202650283261734915;0.000000;1.000000;0.000000;0.000000;0.000000
;2019-12-05 13:04;1;1;"# Arnault fait vivre des centaines de milliers de salariés et soutient toute l'économie française à travers le dynamisme incroyable de # LVMH... Pourquoi ne pas plutôt être fiers de cette réussite ? En faire un modèle pour le business français de demain ? Bref, stop # ArnaultBashinghttps://twitter.com/MarianneleMag/status/1202512328945815552 …";;;# # #;"1202649979426398210";https://twitter.com/Aureli1enGiraux/status/1202649979426398210;0.059000;0.941000;0.000000;-0.373600;0.000000
;2019-12-05 12:32;0;4;"I pay for quality baby # lvmh # rimowahive";;;# #;"1202641796452560897";https://twitter.com/donetodeath/status/1202641796452560897;0.219000;0.781000;0.000000;-0.102700;0.000000
;2019-12-05 12:30;0;1;"# Rihanna # entertainment # fashion # marketing # LVMH # wealth # music # business # FentyBeauty Rihanna is the weathiest female musicianhttp://ow.ly/UAXU50xoOup";;;# # # # # # # # #;"1202641393568616448";https://twitter.com/AchieversMgmt/status/1202641393568616448;0.000000;0.684000;0.316000;0.718400;0.000000
;2019-12-05 11:51;0;0;"Just two months ago, # BernardArnault opened a # LouisVuitton factory in Texas. With # DonaldTrump pondering retaliation # tariffs of up to 100% on # luxury French manufacturers, the # LVMH CEO has a problem. https://fortune.com/2019/12/05/bernard-arnault-net-worth-trump-tariff-france/ …";;;# # # # # #;"1202631593015201792";https://twitter.com/JasminLoerchner/status/1202631593015201792;0.091000;0.909000;0.000000;-0.401900;0.000000
;2019-12-05 11:46;0;0;"# LVMH vs # KERING vs # Richemont # Cool powerhouses with # hot competition http://www.luxurysociety.com/en/articles/2019/11/how-lvmh-tiffanys-acquisition-subverts-luxury-industry/ … via @ luxurysociety";;@;# # # # #;"1202630459215233025";https://twitter.com/_Sid_RAY/status/1202630459215233025;0.000000;0.827000;0.173000;0.318200;0.300000
